LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
Nebraska,41.6,39.2,44,3692,"$75,000 or greater","$75,000 or greater",6
Rhode Island,37.7,33,42.7,730,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,33.8,30.6,37.2,1508,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,32.4,28,37,765,"$35,000 - $49,999","$35,000 - $49,999",4
California,37.2,34.9,39.6,3131,"$75,000 or greater","$75,000 or greater",6
Pennsylvania,36.3,32.3,40.6,874,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,35.1,31.6,38.7,1264,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,41.1,35.3,47.2,937,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,34.1,31.1,37.1,1774,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,35.9,31.1,41,539,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,38.6,34.4,42.9,1203,"$25,000 - $34,999","$25,000 - $34,999",3
Arkansas,41.9,35.8,48.3,610,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,38.2,34.7,41.8,1273,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,37.4,34.1,40.7,1334,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,32.8,28.4,37.4,1005,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,38.3,35.1,41.5,2187,"$75,000 or greater","$75,000 or greater",6
Arkansas,40.3,35.8,45,785,"$75,000 or greater","$75,000 or greater",6
Virginia,39.1,36.8,41.4,2860,"$75,000 or greater","$75,000 or greater",6
Massachusetts,32.3,27.5,37.6,625,"Less than $15,000","Less than $15,000",1
Minnesota,30.6,26.2,35.4,911,"Less than $15,000","Less than $15,000",1
Arkansas,40.6,34.1,47.5,585,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,31.6,27.4,36.2,1115,"Less than $15,000","Less than $15,000",1
Minnesota,37.6,35.1,40.2,2361,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,40.1,36.7,43.5,3113,"$75,000 or greater","$75,000 or greater",6
Louisiana,36.5,33.2,39.8,1141,"$75,000 or greater","$75,000 or greater",6
Arizona,29.5,23.3,36.5,738,"Less than $15,000","Less than $15,000",1
North Carolina,38.7,35.6,41.9,2189,"$75,000 or greater","$75,000 or greater",6
Minnesota,38.6,35.7,41.6,2042,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,34,29.4,38.8,546,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,33.9,30.5,37.5,1506,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,33.8,30.5,37.3,1516,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,33.5,27.7,39.8,568,"Less than $15,000","Less than $15,000",1
South Carolina,32.9,29.5,36.6,1307,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.3,32.1,40.8,764,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,34.1,28.7,40.1,619,"Less than $15,000","Less than $15,000",1
Illinois,38.8,33.3,44.5,486,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,38.7,37.2,40.3,5740,"$75,000 or greater","$75,000 or greater",6
South Dakota,38,32.5,43.8,1163,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,32.2,29.5,34.9,1894,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,36,31.4,40.8,847,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,37.4,34.5,40.4,1885,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,41.4,35.9,47.1,1019,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,39.2,33.2,45.6,462,"$25,000 - $34,999","$25,000 - $34,999",3
Arkansas,39.6,32.2,47.6,515,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,31.5,25.7,37.8,408,"Less than $15,000","Less than $15,000",1
Ohio,31.8,27.3,36.6,953,"Less than $15,000","Less than $15,000",1
Ohio,26.8,22.7,31.2,1005,"Less than $15,000","Less than $15,000",1
Illinois,36.1,29.8,42.9,488,"Less than $15,000","Less than $15,000",1
Arkansas,40.7,35.6,46,838,"$75,000 or greater","$75,000 or greater",6
North Dakota,35.1,31,39.5,945,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,35.4,29.6,41.7,529,"$25,000 - $34,999","$25,000 - $34,999",3
South Dakota,39.8,36,43.8,1551,"$75,000 or greater","$75,000 or greater",6
Colorado,30.7,27.3,34.4,962,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,31.3,25.5,37.8,587,"Less than $15,000","Less than $15,000",1
New York,35.2,32,38.6,1676,"$15,000 - $24,999","$15,000 - $24,999",2
New York,33.8,29.7,38.2,969,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,37.5,33.8,41.4,974,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,34.4,30.5,38.5,714,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,35.9,31.7,40.4,758,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,39,35.7,42.4,1322,"$75,000 or greater","$75,000 or greater",6
Virginia,32.4,27.7,37.5,599,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,23.6,19.2,28.5,502,"Less than $15,000","Less than $15,000",1
New Hampshire,25.7,18.6,34.2,315,"Less than $15,000","Less than $15,000",1
North Dakota,39.2,36.2,42.4,1505,"$75,000 or greater","$75,000 or greater",6
Texas,35.4,31.9,39.1,1646,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,28.3,25.2,31.7,1212,"Less than $15,000","Less than $15,000",1
Iowa,31.8,28.3,35.6,995,"$15,000 - $24,999","$15,000 - $24,999",2
New York,31.8,28.1,35.6,951,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,36,30.9,41.5,491,"Less than $15,000","Less than $15,000",1
Maryland,32.3,27.9,37,1088,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,41,37.6,44.5,1454,"$75,000 or greater","$75,000 or greater",6
Nebraska,31.8,28.9,34.9,2699,"$15,000 - $24,999","$15,000 - $24,999",2
Rhode Island,35.4,31.4,39.6,846,"$50,000 - $74,999","$50,000 - $74,999",5
West Virginia,34.4,30.2,38.9,639,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,33.9,26.5,42.3,273,"Less than $15,000","Less than $15,000",1
Virgin Islands,NA,NA,NA,NA,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,39,35.1,43.1,1178,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,30.9,25.6,36.8,554,"Less than $15,000","Less than $15,000",1
Connecticut,36.5,34.5,38.6,3867,"$75,000 or greater","$75,000 or greater",6
Connecticut,41.2,37.2,45.3,1153,"$50,000 - $74,999","$50,000 - $74,999",5
New Mexico,31.2,26.9,35.9,792,"Less than $15,000","Less than $15,000",1
Arizona,31.1,27.5,34.9,1051,"Less than $15,000","Less than $15,000",1
North Dakota,40.1,37.4,42.8,2152,"$75,000 or greater","$75,000 or greater",6
Georgia,33.5,29.8,37.5,1223,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,35.2,29.2,41.8,449,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,29.4,24,35.4,572,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,29.3,25.2,33.7,835,"Less than $15,000","Less than $15,000",1
Alaska,28.9,21,38.2,342,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,32.7,26.2,39.9,381,"Less than $15,000","Less than $15,000",1
Maine,40,37.4,42.6,1991,"$75,000 or greater","$75,000 or greater",6
Wyoming,40.3,35.6,45.2,819,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,35.9,31.7,40.4,1087,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,33.2,29.1,37.6,989,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,42.6,36.2,49.2,469,"$50,000 - $74,999","$50,000 - $74,999",5
Indiana,31.2,28.7,33.9,2118,"$15,000 - $24,999","$15,000 - $24,999",2
Texas,32.7,27.5,38.3,1396,"$50,000 - $74,999","$50,000 - $74,999",5
California,34.5,32.2,36.9,2551,"$75,000 or greater","$75,000 or greater",6
Massachusetts,37.4,33.8,41.2,1594,"$35,000 - $49,999","$35,000 - $49,999",4
Massachusetts,34.1,30.7,37.8,2046,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,38.3,30.1,47.1,335,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,39.9,36.8,43,1513,"$75,000 or greater","$75,000 or greater",6
South Carolina,35.5,31.3,40,1289,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,29.9,20.4,41.4,284,"Less than $15,000","Less than $15,000",1
New York,35.4,32.1,38.8,1471,"$50,000 - $74,999","$50,000 - $74,999",5
Wyoming,39.2,34.7,44,666,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,37.7,32.6,43.1,572,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,45.6,39.6,51.7,1290,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,39.9,35.8,44.2,958,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,39.6,36.5,42.8,1867,"$75,000 or greater","$75,000 or greater",6
Minnesota,32.2,29.4,35.2,1708,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,30.3,24.2,37.1,633,"Less than $15,000","Less than $15,000",1
Indiana,36.9,33.4,40.5,1113,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,39.5,34.8,44.4,732,"$50,000 - $74,999","$50,000 - $74,999",5
New York,34.1,31,37.4,1611,"$15,000 - $24,999","$15,000 - $24,999",2
Texas,30.1,26,34.4,1060,"Less than $15,000","Less than $15,000",1
West Virginia,36.9,32.8,41.3,695,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,39.6,32.6,47,400,"$25,000 - $34,999","$25,000 - $34,999",3
Maryland,41.2,38.3,44.1,4159,"$75,000 or greater","$75,000 or greater",6
Maryland,37.6,35.5,39.6,4732,"$75,000 or greater","$75,000 or greater",6
Alaska,29.7,20.6,40.7,224,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,27,24,30.2,1325,"Less than $15,000","Less than $15,000",1
North Dakota,28.2,22.3,34.9,407,"Less than $15,000","Less than $15,000",1
Tennessee,39.7,35,44.4,701,"$75,000 or greater","$75,000 or greater",6
South Carolina,28.6,24.7,32.9,1024,"Less than $15,000","Less than $15,000",1
Arkansas,36.2,31,41.7,856,"$75,000 or greater","$75,000 or greater",6
Oklahoma,31.1,27.9,34.4,1339,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,35.8,30.7,41.3,672,"$50,000 - $74,999","$50,000 - $74,999",5
Alabama,36.6,32.2,41.3,861,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,42.7,34.5,51.4,305,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,36.8,29.7,44.5,406,"$50,000 - $74,999","$50,000 - $74,999",5
Wisconsin,27.9,23.6,32.6,726,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,40.5,37.4,43.8,1466,"$75,000 or greater","$75,000 or greater",6
South Carolina,33.2,30.1,36.4,1741,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,32,28.3,35.8,893,"$15,000 - $24,999","$15,000 - $24,999",2
Oklahoma,33.2,30,36.5,1458,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,35.8,31.4,40.5,720,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,35.6,30.4,41.3,617,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,34.9,29.2,41.1,577,"$15,000 - $24,999","$15,000 - $24,999",2
North Carolina,30.9,26.5,35.7,692,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,36.9,32.8,41.2,1128,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,40.4,38,42.9,2561,"$75,000 or greater","$75,000 or greater",6
Louisiana,35,30.8,39.3,1112,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,37.8,34.5,41.3,1397,"$25,000 - $34,999","$25,000 - $34,999",3
Virgin Islands,NA,NA,NA,NA,"Less than $15,000","Less than $15,000",1
Connecticut,30.2,25,36,520,"Less than $15,000","Less than $15,000",1
Nebraska,31.2,28.1,34.4,2091,"$15,000 - $24,999","$15,000 - $24,999",2
North Carolina,30.7,25.5,36.5,458,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,38.5,36.3,40.7,4167,"$75,000 or greater","$75,000 or greater",6
Mississippi,33.8,28.7,39.2,577,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,37.8,34.4,41.3,1300,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,30.6,26.8,34.7,1031,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,38.1,34.8,41.5,1538,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,35.1,32,38.4,1539,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,33.3,29.1,37.7,647,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,31,24.9,37.8,406,"Less than $15,000","Less than $15,000",1
Delaware,39,32.2,46.3,363,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,35.7,30.9,40.8,812,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,40,35.5,44.7,816,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,37.7,34.8,40.7,1631,"$75,000 or greater","$75,000 or greater",6
Arkansas,32.5,27.2,38.2,512,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,37.7,35.2,40.3,2541,"$75,000 or greater","$75,000 or greater",6
Maine,36.9,32.9,41.2,939,"$25,000 - $34,999","$25,000 - $34,999",3
Rhode Island,36.6,32,41.4,865,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,27.5,22.9,32.7,700,"Less than $15,000","Less than $15,000",1
Alaska,30.2,22.4,39.2,337,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,30.2,25.8,35,875,"Less than $15,000","Less than $15,000",1
North Dakota,29.9,25.6,34.5,770,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,40.6,36.7,44.7,934,"$25,000 - $34,999","$25,000 - $34,999",3
North Dakota,39.6,35.8,43.6,1105,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,34.7,29.7,39.9,605,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,41.7,34,49.7,466,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,36.7,33,40.5,1030,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,31.3,28.5,34.2,1629,"$15,000 - $24,999","$15,000 - $24,999",2
New Hampshire,36.9,32.5,41.4,899,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,35.5,31.9,39.3,1239,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,28.8,24.3,33.7,904,"Less than $15,000","Less than $15,000",1
Arizona,38.8,35,42.7,1864,"$35,000 - $49,999","$35,000 - $49,999",4
California,34.8,31.5,38.3,1622,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,30.4,26.4,34.7,931,"Less than $15,000","Less than $15,000",1
Oregon,32.7,28.2,37.5,671,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,39.6,34.9,44.4,732,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,33.5,30.2,37,1413,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,39.3,34.6,44.1,718,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,27.2,22.8,32.2,547,"Less than $15,000","Less than $15,000",1
Kentucky,32.9,29,37,1562,"Less than $15,000","Less than $15,000",1
West Virginia,32.8,29.5,36.2,1019,"$15,000 - $24,999","$15,000 - $24,999",2
Arizona,43.6,37,50.4,809,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,34.1,31.3,37,1970,"$35,000 - $49,999","$35,000 - $49,999",4
Wisconsin,39.1,35.3,43.1,1280,"$75,000 or greater","$75,000 or greater",6
Nebraska,35,32.6,37.5,2969,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,37.2,32.9,41.7,913,"$25,000 - $34,999","$25,000 - $34,999",3
Mississippi,29.7,26.3,33.4,1345,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,28.5,23.5,34,597,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,32.8,27.2,38.9,472,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,29.5,23.8,35.8,383,"Less than $15,000","Less than $15,000",1
Utah,36.8,35.1,38.6,4402,"$75,000 or greater","$75,000 or greater",6
North Carolina,39.6,36.4,43,1089,"$75,000 or greater","$75,000 or greater",6
Kentucky,36.6,31.3,42.3,688,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,38.4,35.7,41.1,1975,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,34.2,30.7,37.8,1021,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,38.9,32.4,45.9,493,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,30.1,25.2,35.5,614,"Less than $15,000","Less than $15,000",1
Colorado,34.9,31.9,38,1747,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,42.7,37,48.6,470,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,32.9,27.6,38.6,598,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,35.4,31.2,39.9,661,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,34.6,31.3,38.1,1198,"$75,000 or greater","$75,000 or greater",6
Hawaii,30.4,26.2,35,1025,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,27.2,22.4,32.6,589,"Less than $15,000","Less than $15,000",1
Tennessee,36.4,32.9,40.1,1358,"$75,000 or greater","$75,000 or greater",6
Illinois,37,34.5,39.5,1953,"$75,000 or greater","$75,000 or greater",6
Alaska,31.5,19.5,46.7,158,"Less than $15,000","Less than $15,000",1
New Hampshire,29.8,24.1,36.1,400,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,36.1,33.4,38.9,1648,"$75,000 or greater","$75,000 or greater",6
California,35.3,32,38.9,1204,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,37.6,33.9,41.4,1542,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,35.5,31.2,39.9,714,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,30.4,21.5,41.1,364,"Less than $15,000","Less than $15,000",1
Massachusetts,31.5,27.8,35.4,1827,"Less than $15,000","Less than $15,000",1
Wyoming,41.8,35.7,48,658,"$35,000 - $49,999","$35,000 - $49,999",4
Virginia,29.8,25.6,34.3,722,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,30.8,27.1,34.8,747,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,28.9,22.2,36.6,303,"$25,000 - $34,999","$25,000 - $34,999",3
Tennessee,37.2,31.8,42.8,530,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,33.6,29.1,38.5,597,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,31.5,28.6,34.5,1412,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,29.9,26.6,33.3,1129,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,35.8,31,40.9,929,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,41,36.8,45.4,1843,"$50,000 - $74,999","$50,000 - $74,999",5
New York,32.1,27.8,36.8,921,"Less than $15,000","Less than $15,000",1
Alaska,34.1,27.2,41.8,318,"Less than $15,000","Less than $15,000",1
Arkansas,25.3,20.4,31,481,"Less than $15,000","Less than $15,000",1
Pennsylvania,35.2,30.8,39.9,696,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,39.2,37.6,40.8,4911,"$75,000 or greater","$75,000 or greater",6
Arizona,38.4,33.8,43.2,1138,"$75,000 or greater","$75,000 or greater",6
Mississippi,40.5,35.5,45.7,621,"$75,000 or greater","$75,000 or greater",6
Montana,41.2,37.5,45,1207,"$75,000 or greater","$75,000 or greater",6
Wisconsin,39.5,33.5,45.8,459,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,31.6,23.9,40.4,317,"Less than $15,000","Less than $15,000",1
West Virginia,37,32.2,42.1,606,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,35.4,31,40.1,1648,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,27.8,22.5,33.8,421,"Less than $15,000","Less than $15,000",1
Connecticut,29.8,24.8,35.4,535,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,35.4,30,41.2,613,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,38.9,37.4,40.4,5277,"$75,000 or greater","$75,000 or greater",6
Vermont,38.3,35.4,41.4,1636,"$75,000 or greater","$75,000 or greater",6
Nevada,41.6,33.4,50.4,365,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,39.5,35.2,43.9,1042,"$75,000 or greater","$75,000 or greater",6
Virginia,37.9,35.6,40.2,3178,"$75,000 or greater","$75,000 or greater",6
New York,33.3,29.7,37.1,1546,"$50,000 - $74,999","$50,000 - $74,999",5
Alabama,31,27.6,34.5,1302,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,35.4,29.9,41.3,480,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,35.8,34.1,37.5,6309,"$75,000 or greater","$75,000 or greater",6
Nevada,40.1,32.9,47.8,332,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,39.9,36,44,1109,"$75,000 or greater","$75,000 or greater",6
South Carolina,30.9,26.9,35.1,924,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,39.2,35.1,43.4,1048,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,38.6,32.9,44.6,760,"$50,000 - $74,999","$50,000 - $74,999",5
Alabama,28.2,23.8,33,677,"Less than $15,000","Less than $15,000",1
Maine,27.8,22.3,34,723,"Less than $15,000","Less than $15,000",1
Texas,37.9,33.9,42,1065,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,37.8,33.6,42,1366,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,33.6,29.3,38.2,1270,"$25,000 - $34,999","$25,000 - $34,999",3
Delaware,30.6,23.5,38.8,272,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,31.1,26.3,36.4,609,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,39.2,36,42.4,1748,"$75,000 or greater","$75,000 or greater",6
Arizona,36.4,33.1,39.8,2046,"$75,000 or greater","$75,000 or greater",6
Colorado,30.5,25.5,35.9,440,"Less than $15,000","Less than $15,000",1
Illinois,39.1,35,43.3,744,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,39.4,35.8,43.3,1199,"$75,000 or greater","$75,000 or greater",6
West Virginia,24.5,20.2,29.3,549,"Less than $15,000","Less than $15,000",1
Texas,38.2,35.1,41.3,3114,"$75,000 or greater","$75,000 or greater",6
Indiana,37.8,34.2,41.6,1061,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,35.8,31.7,40,930,"$75,000 or greater","$75,000 or greater",6
Oklahoma,34.8,29.9,40,547,"$25,000 - $34,999","$25,000 - $34,999",3
North Dakota,35.9,30.1,42.2,672,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,29.4,23.5,36.2,408,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,34.7,30.6,39.1,1127,"Less than $15,000","Less than $15,000",1
Wyoming,33.7,29.2,38.6,929,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,38.6,33.9,43.5,720,"$35,000 - $49,999","$35,000 - $49,999",4
Montana,30.1,26.2,34.4,1008,"Less than $15,000","Less than $15,000",1
Indiana,35.8,31.2,40.7,815,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,35.5,32.5,38.7,1902,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,33.7,25,43.7,285,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,35.4,32.7,38.3,1781,"$75,000 or greater","$75,000 or greater",6
Vermont,35.8,29.9,42.1,479,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,27.4,22.7,32.6,836,"Less than $15,000","Less than $15,000",1
Maryland,27.9,22.5,33.9,714,"Less than $15,000","Less than $15,000",1
New Mexico,36.2,30.7,42.1,521,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,38.6,32,45.6,691,"Less than $15,000","Less than $15,000",1
Michigan,23.3,19.4,27.7,682,"Less than $15,000","Less than $15,000",1
Arkansas,26.7,22.4,31.4,773,"Less than $15,000","Less than $15,000",1
Maryland,34.6,30.7,38.8,1588,"$15,000 - $24,999","$15,000 - $24,999",2
New Hampshire,31.9,26.1,38.2,531,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,37.6,35.4,39.8,2997,"$75,000 or greater","$75,000 or greater",6
Idaho,32,26.2,38.5,661,"Less than $15,000","Less than $15,000",1
Wyoming,39.7,34.6,45.1,898,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,36.1,31,41.6,1253,"$25,000 - $34,999","$25,000 - $34,999",3
Rhode Island,31.6,25.3,38.6,404,"Less than $15,000","Less than $15,000",1
Wisconsin,38.4,35.3,41.6,1452,"$75,000 or greater","$75,000 or greater",6
Massachusetts,30,24.2,36.4,328,"Less than $15,000","Less than $15,000",1
North Dakota,35.5,31.1,40.1,817,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,29.3,25.4,33.6,922,"$15,000 - $24,999","$15,000 - $24,999",2
Nevada,26.7,18.7,36.6,170,"Less than $15,000","Less than $15,000",1
Rhode Island,36.5,31.1,42.3,668,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,33,29.4,36.9,948,"$25,000 - $34,999","$25,000 - $34,999",3
California,37.2,35.2,39.2,3798,"$75,000 or greater","$75,000 or greater",6
Colorado,39.7,37,42.5,1923,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,38.9,37,40.9,3283,"$75,000 or greater","$75,000 or greater",6
